tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	autostub	autostub	autostub	autostub
results/autostub/	status	cputime (s)	walltime (s)	memory (MB)
Math_public_static_long_java_lang_Math_round_double	unknown	0.494000	0.494000	0.000000
Short_public_byte_java_lang_Short_byteValue	unknown	0.492000	0.492000	0.000000
Short_public_double_java_lang_Short_doubleValue	unknown	0.491000	0.491000	0.000000
Short_public_float_java_lang_Short_floatValue	unknown	0.468000	0.468000	0.000000
Short_public_int_java_lang_Short_compareTo_java_lang_Short	unknown	0.485000	0.485000	0.000000
Short_public_int_java_lang_Short_intValue	unknown	0.466000	0.466000	0.000000
Short_public_java_lang_String_java_lang_Short_toString	unknown	0.475000	0.475000	0.000000
Short_public_long_java_lang_Short_longValue	unknown	0.469000	0.469000	0.000000
Short_public_short_java_lang_Short_shortValue	unknown	0.483000	0.483000	0.000000
Short_public_static_int_java_lang_Short_compare_short_short	unknown	0.481000	0.481000	0.000000
Short_public_static_int_java_lang_Short_toUnsignedInt_short	unknown	0.470000	0.470000	0.000000
Short_public_static_java_lang_Short_java_lang_Short_valueOf_short	unknown	0.475000	0.475000	0.000000
Short_public_static_java_lang_String_java_lang_Short_toString_short	unknown	0.476000	0.476000	0.000000
Short_public_static_long_java_lang_Short_toUnsignedLong_short	unknown	0.474000	0.474000	0.000000
Short_public_static_short_java_lang_Short_reverseBytes_short	unknown	0.480000	0.480000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_abs_int	unknown	0.501000	0.501000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_getExponent_double	unknown	0.464000	0.464000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_getExponent_float	unknown	0.489000	0.489000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_max_int_int	unknown	0.486000	0.486000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_min_int_int	unknown	0.491000	0.491000	0.000000
