tool	JPF []	JPF []	JPF []	JPF []
run set	all-suites	all-suites	all-suites	all-suites
merged-results/	status	cputime (s)	walltime (s)	memory (MB)
Math_public_static_int_java_lang_Math_round_float	unknown	0.439000	0.439000	0.000000
Math_public_static_long_java_lang_Math_abs_long	unknown	0.452000	0.452000	0.000000
Math_public_static_long_java_lang_Math_max_long_long	unknown	0.454000	0.454000	0.000000
Math_public_static_long_java_lang_Math_min_long_long	unknown	0.451000	0.451000	0.000000
Math_public_static_long_java_lang_Math_round_double	unknown	0.453000	0.453000	0.000000
Short_public_byte_java_lang_Short_byteValue	unknown	0.455000	0.455000	0.000000
Short_public_double_java_lang_Short_doubleValue	unknown	0.458000	0.458000	0.000000
Short_public_float_java_lang_Short_floatValue	unknown	0.449000	0.449000	0.000000
Short_public_int_java_lang_Short_compareTo_java_lang_Short	unknown	0.439000	0.439000	0.000000
Short_public_int_java_lang_Short_intValue	unknown	0.439000	0.439000	0.000000
Short_public_java_lang_String_java_lang_Short_toString	unknown	0.447000	0.447000	0.000000
Short_public_long_java_lang_Short_longValue	unknown	0.462000	0.462000	0.000000
Short_public_short_java_lang_Short_shortValue	unknown	0.441000	0.441000	0.000000
Short_public_static_int_java_lang_Short_compare_short_short	unknown	0.438000	0.438000	0.000000
Short_public_static_int_java_lang_Short_toUnsignedInt_short	unknown	0.451000	0.451000	0.000000
Short_public_static_java_lang_Short_java_lang_Short_valueOf_short	unknown	0.448000	0.448000	0.000000
Short_public_static_java_lang_String_java_lang_Short_toString_short	unknown	0.451000	0.451000	0.000000
Short_public_static_long_java_lang_Short_toUnsignedLong_short	unknown	0.439000	0.439000	0.000000
Short_public_static_short_java_lang_Short_reverseBytes_short	unknown	0.448000	0.448000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_getExponent_double	unknown	0.443000	0.443000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_getExponent_float	unknown	0.446000	0.446000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_round_float	unknown	0.458000	0.458000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_abs_long	unknown	0.442000	0.442000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_max_long_long	unknown	0.447000	0.447000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_min_long_long	unknown	0.446000	0.446000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_round_double	unknown	0.439000	0.439000	0.000000
String_public_boolean_java_lang_String_endsWith_java_lang_String	correct	0.625000	0.625000	0.000000
String_public_boolean_java_lang_String_equalsIgnoreCase_java_lang_String	unknown	0.451000	0.451000	0.000000
String_public_boolean_java_lang_String_isEmpty	correct	0.591000	0.591000	0.000000
String_public_boolean_java_lang_String_startsWith_java_lang_String	correct	0.654000	0.654000	0.000000
String_public_int_java_lang_String_compareToIgnoreCase_java_lang_String	unknown	0.442000	0.442000	0.000000
String_public_int_java_lang_String_compareTo_java_lang_String	unknown	0.451000	0.451000	0.000000
String_public_java_lang_String_java_lang_String_concat_java_lang_String	correct	0.704000	0.704000	0.000000
String_public_java_lang_String_java_lang_String_replace_char_char	unknown	0.443000	0.443000	0.000000
String_public_java_lang_String_java_lang_String_toLowerCase	correct	0.467000	0.467000	0.000000
String_public_java_lang_String_java_lang_String_toString	unknown	0.579000	0.579000	0.000000
String_public_java_lang_String_java_lang_String_toUpperCase	correct	0.455000	0.455000	0.000000
String_public_java_lang_String_java_lang_String_trim	unknown	0.574000	0.574000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_boolean	unknown	0.455000	0.455000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_char	unknown	0.445000	0.445000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_double	unknown	0.443000	0.443000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_float	unknown	0.456000	0.456000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_int	unknown	0.470000	0.470000	0.000000
String_public_static_java_lang_String_java_lang_String_valueOf_long	unknown	0.470000	0.470000	0.000000
Bessel	correct	0.510000	0.510000	0.000000
Conflict	correct	0.506000	0.506000	0.000000
EulerMethod	incorrect	0.645000	0.645000	0.000000
MathSin	unknown	0.475000	0.475000	0.000000
Optimization1	unknown	0.493000	0.493000	0.000000
Optimization2	unknown	0.511000	0.511000	0.000000
Optimization3	incorrect	0.504000	0.504000	0.000000
Optimization4	unknown	0.514000	0.514000	0.000000
Optimization5	unknown	0.521000	0.521000	0.000000
Optimization6	unknown	0.515000	0.515000	0.000000
PartitionEx	correct	0.519000	0.519000	0.000000
TurnLogic	correct	0.468000	0.468000	0.000000
coral1	unknown	0.535000	0.535000	0.000000
coral10	unknown	0.509000	0.509000	0.000000
coral11	unknown	0.498000	0.498000	0.000000
coral12	unknown	0.549000	0.549000	0.000000
coral13	unknown	0.495000	0.495000	0.000000
coral14	unknown	0.501000	0.501000	0.000000
coral15	unknown	0.517000	0.517000	0.000000
coral16	incorrect	0.508000	0.508000	0.000000
coral17	unknown	0.505000	0.505000	0.000000
coral18	unknown	0.525000	0.525000	0.000000
coral19	unknown	0.503000	0.503000	0.000000
coral2	unknown	0.499000	0.499000	0.000000
coral20	unknown	0.519000	0.519000	0.000000
coral21	unknown	0.515000	0.515000	0.000000
coral22	unknown	0.518000	0.518000	0.000000
coral23	correct	0.507000	0.507000	0.000000
coral26	correct	0.521000	0.521000	0.000000
coral27	unknown	0.496000	0.496000	0.000000
coral28	unknown	0.502000	0.502000	0.000000
coral29	unknown	0.503000	0.503000	0.000000
coral3	correct	0.501000	0.501000	0.000000
coral30	unknown	0.478000	0.478000	0.000000
coral31	incorrect	0.519000	0.519000	0.000000
coral32	unknown	0.503000	0.503000	0.000000
coral33	unknown	0.521000	0.521000	0.000000
coral34	unknown	0.520000	0.520000	0.000000
coral35	unknown	0.530000	0.530000	0.000000
coral36	unknown	0.466000	0.466000	0.000000
coral38	unknown	0.509000	0.509000	0.000000
coral39	incorrect	0.519000	0.519000	0.000000
coral4	unknown	0.495000	0.495000	0.000000
coral40	incorrect	0.507000	0.507000	0.000000
coral41	incorrect	0.511000	0.511000	0.000000
coral42	incorrect	0.524000	0.524000	0.000000
coral43	incorrect	0.505000	0.505000	0.000000
coral44	incorrect	0.496000	0.496000	0.000000
coral45	unknown	0.499000	0.499000	0.000000
coral46	unknown	0.519000	0.519000	0.000000
coral48	incorrect	0.545000	0.545000	0.000000
coral49	unknown	0.534000	0.534000	0.000000
coral5	correct	0.512000	0.512000	0.000000
coral50	unknown	0.502000	0.502000	0.000000
coral51	unknown	0.503000	0.503000	0.000000
coral52	unknown	0.508000	0.508000	0.000000
coral53	unknown	0.500000	0.500000	0.000000
coral54	unknown	0.503000	0.503000	0.000000
coral55	correct	0.502000	0.502000	0.000000
coral56	incorrect	0.517000	0.517000	0.000000
coral57	incorrect	0.497000	0.497000	0.000000
coral58	incorrect	0.507000	0.507000	0.000000
coral59	incorrect	0.513000	0.513000	0.000000
coral6	unknown	0.505000	0.505000	0.000000
coral60	incorrect	0.513000	0.513000	0.000000
coral61	incorrect	0.505000	0.505000	0.000000
coral62	incorrect	0.552000	0.552000	0.000000
coral63	incorrect	0.521000	0.521000	0.000000
coral64	incorrect	0.508000	0.508000	0.000000
coral65	incorrect	0.522000	0.522000	0.000000
coral66	incorrect	0.529000	0.529000	0.000000
coral67	incorrect	0.530000	0.530000	0.000000
coral68	incorrect	0.512000	0.512000	0.000000
coral69	incorrect	0.514000	0.514000	0.000000
coral71	unknown	0.518000	0.518000	0.000000
coral72	unknown	0.508000	0.508000	0.000000
coral73	unknown	0.509000	0.509000	0.000000
coral74	unknown	0.501000	0.501000	0.000000
coral75	unknown	0.522000	0.522000	0.000000
coral76	incorrect	0.503000	0.503000	0.000000
coral77	incorrect	0.492000	0.492000	0.000000
coral79	incorrect	0.517000	0.517000	0.000000
coral80	correct	0.512000	0.512000	0.000000
coral81	unknown	0.514000	0.514000	0.000000
coral84	unknown	0.520000	0.520000	0.000000
coral9	unknown	0.515000	0.515000	0.000000
coral91	correct	0.503000	0.503000	0.000000
Adjustable-Inner-Count-Halving	incorrect	0.606000	0.606000	0.000000
Alternating-Step-Schedule	correct	0.556000	0.556000	0.000000
Batch-Conveyor-Counter	correct	0.588000	0.588000	0.000000
Bounded-Proportional-Update	correct	0.575000	0.575000	0.000000
Bounded-Reset-Linear-Growth	correct	0.570000	0.570000	0.000000
Clamped-Triangular-Drift	correct	0.579000	0.579000	0.000000
Cyclic-Preset-Inner-ABC	correct	0.596000	0.596000	0.000000
Fixed-Block-Accumulator	correct	0.580000	0.580000	0.000000
Hysteresis-On-Off-with-Deadband	correct	0.692000	0.692000	0.000000
Inner-Retry-Until-OK	correct	0.590000	0.590000	0.000000
Leak-and-Refill	correct	0.584000	0.584000	0.000000
Mixed-Phase-AddHalve-with-Slack-Box	correct	0.785000	0.785000	0.000000
Nested-Drain-Then-Step	correct	0.593000	0.593000	0.000000
Nested-MinStep-Regulator	correct	0.583000	0.583000	0.000000
Nested-PingPong-with-Caps	correct	0.591000	0.591000	0.000000
Nested-Saturation-Then-Reset	correct	0.599000	0.599000	0.000000
Nested-Windowed-Add-Remove	correct	0.589000	0.589000	0.000000
Producer-Consumer-Level	correct	0.595000	0.595000	0.000000
Ramp-and-Hold	correct	0.582000	0.582000	0.000000
Safe-Accumulator-with-Bounded-Noise	correct	1.183000	1.183000	0.000000
Saturating-Integrator	correct	0.581000	0.581000	0.000000
Slew-Rate-Limiter	correct	0.585000	0.585000	0.000000
Switched-Linear-Plant	correct	0.561000	0.561000	0.000000
Two-Band-Piecewise-Linear-Oscillator	correct	0.575000	0.575000	0.000000
Two-Counter-Lexicographic-Small	correct	0.579000	0.579000	0.000000
Two-Level-Nested-Scheduler	correct	0.609000	0.609000	0.000000
Two-State-FP-Oscillator	correct	0.589000	0.589000	0.000000
Two-Var-Nested-Handshake	correct	0.590000	0.590000	0.000000
Two-Variable_Averaging_Filter	correct	0.594000	0.594000	0.000000
Unbounded-Outer-Inner-Safety-Gate	correct	0.588000	0.588000	0.000000
LoopCharAt	incorrect	18.504000	18.504000	0.000000
TCAS_prop1	correct	2.403000	2.403000	0.000000
TCAS_prop2	correct	5.240000	5.240000	0.000000
TCAS_prop3	correct	5.280000	5.280000	0.000000
apachecli_eqchk	correct	21.952000	21.952000	0.000000
schedule_eqchk	correct	2.566000	2.566000	0.000000
Ackermann01	correct	0.641000	0.641000	0.000000
